Protein.Names	DMSO_01	DMSO_02	DMSO_03	DMSO_04	DMSO_05	DMSO_06	DMSO_07	DMSO_08	DMSO_09	DMSO_10	DMSO_11	DMSO_12	IHK44_100nM_01	IHK44_100nM_02	IHK44_100nM_03	IHK44_100nM_04	IHK44_100nM_05	IHK44_100nM_06	IHK44_125nM_01	IHK44_125nM_02	IHK44_125nM_03	IHK44_125nM_04	IHK44_125nM_05	IHK44_125nM_06	IHK44_150nM_01	IHK44_150nM_02	IHK44_150nM_03	IHK44_150nM_04	IHK44_150nM_05	IHK44_150nM_06
1433B_HUMAN	89895.8	87263	79323	136691	105311	107086	135470	91128.1	89012	107318	92537.7	90535.8	82296.7	75242.5	72609.6	99741.8	104614	105079	84469.5	96748.8	83003.9	96404	96337.2	73481.3	83411	85483.3	107184	100761	90487.6	94053.2
1433E_HUMAN	626526	601329	645765	736850	689596	730988	788086	616958	582629	638885	551487	570906	666155	567981	579837	599596	664696	621794	688755	664926	578809	535618	600858	494091	632683	699667	717289	661481	687264	620319
1433F_HUMAN	52053.9	50166.4	56447.1	58513.4	52186.2	58553.8	63412	49178.1	53103.9	55930.2	50677.4	46684.3	56387.7	46009	51531	45240.7	57367.5	50507.4	57636.4	56418.5	47592.9	46740.1	52797.4	41741.7	54215.1	53414.4	50037.2	53191.1	50641	51024.8
1433G_HUMAN	218023	216576	209908	247861	242103	225833	245215	210655	214766	233140	196573	225211	227774	198812	220591	205558	219492	220738	217919	219771	191619	199654	194895	181531	192556	230267	238702	224588	199402	205796
1433S_HUMAN	180411	170898	156720	NA	183548	200847	217423	178195	177626	NA	166442	170372	174582	158234	NA	175327	180835	195740	180404	171941	187438	177026	171841	NA	NA	182158	187214	179847	178175	173287
1433T_HUMAN	110260	118142	118413	128144	124011	116916	121076	114690	109403	120659	109504	115306	117134	107158	105603	96486.8	116743	117780	117246	116077	104499	109809	102257	96537.7	107997	114161	103829	114768	96223	106695
1433Z_HUMAN	109820	112032	118676	131813	130136	127934	133692	114000	103107	122035	104975	103034	114089	88170.8	101913	95097.1	115448	107153	115440	114937	106077	104763	111345	99068.7	102612	116710	122784	118499	105973	105195
2A5D_HUMAN	11539	8939.97	11479	8641.31	8578.12	9217.32	10125	9153.09	8116.72	7446.42	8729.83	10537	11380.3	10674.3	12026.4	9247	11268.5	9926.95	11117	10465	8608.78	10073.2	9384.57	8601.47	11573.6	10386.7	10772	10983.9	10834.9	12445.9
2A5E_HUMAN	23003.3	19860.3	20073.5	20058.1	20580	21573	20104.7	20764.3	21502.7	19904.6	20241.1	19045.2	21797	20084.9	21385.3	19297.3	19450.7	19487.9	21542.9	22672.7	19716.2	20125.2	19830.3	17474.1	22180.3	19955.3	19892.9	22287.7	22558.9	21433
2A5G_HUMAN	19170.5	19822.1	19841.3	19347.7	17806.6	20054.9	18432.1	20027.7	20289	19239.5	19454.9	17106.9	19378.9	18143.8	17556.6	20043	20147.4	18944.1	19869.3	19878	15047.6	19180.4	17288.6	16610.4	21766.3	19875.7	18721.7	17793.8	20456.2	20475
2AAA_HUMAN	73508.3	72442.7	73085.8	75228.7	71782	71054.3	71873.3	75002.6	76757	73481.5	76652	74457.1	73398.8	80928.3	78174.4	75804.2	76490.6	75052.1	72713.9	80078.9	75227.6	76437.3	76574.5	74778.9	75690.1	72986.5	71973.8	78500.8	79098.5	77158.6
2AAB_HUMAN	5185.08	5241.2	6711.66	4079.97	4323.5	4575.61	5678.17	4975.96	5013.29	4579.69	4644.78	5511.91	5171.8	8255.35	6702.82	4392.8	6353.59	6083.31	6718.51	5794.65	4705.13	4377.64	5882.78	5132.93	5280.75	4030.98	7348.32	6314.54	5572.1	4480.46
2ABA_HUMAN	11315.5	10099.1	11916	11207.4	10226.7	10083.6	11458.7	10980.9	12475.8	10615.1	10177.3	11532.1	12769.3	10208.3	11338	11022.5	10574.8	9657.24	12391.5	9616.88	10251.8	10584	9439.38	10256.9	10474.7	12429.5	10175.7	11881	9443.65	10098.6
3BP1_HUMAN;BGIN_HUMAN	11227.4	10962.1	10581.5	10480.6	11410.6	11114.5	11202.2	11302.9	9398.98	10659.5	11948.3	9822.3	10155.5	11136.8	9812.86	12606.6	10347.1	11415.9	9083.98	10888.2	12374.2	11836	10861.8	11487.4	9086.76	11439.1	10337.5	11176.4	11480.1	11059
3HIDH_HUMAN	2855.54	2830.08	3552.27	3312.7	3000.86	2108.04	4568.27	2648.42	1877.66	2019.94	1648.8	2573.69	4153.7	3408.95	3500.04	NA	2371.64	3596.41	4869.76	2673.64	2944.55	2245.79	2130.09	2900.42	3537.68	4123.93	2190.59	2890.27	2166.51	2218.07
3MG_HUMAN	108210	108202	115530	114397	120160	115601	112692	115179	102722	115410	120290	109048	111650	112879	116280	108684	111414	114829	106458	107278	119771	117924	115657	121485	105831	95836.2	106631	106951	106102	114206
4ET_HUMAN	21445.6	20807.8	20551.8	20381.1	21353.9	22821.5	21783.2	24238.1	20930.7	22382.4	19724.2	20917.9	21292.7	20298.1	21571.2	21323.1	22945.3	20967.8	23094.7	21567.2	18196.4	21350.3	20467.7	20479.2	21424.4	22961.5	22709.8	20656.9	20898.6	21449
4F2_HUMAN	16900.2	13325.1	16196	17469.6	14578.8	12249.2	17458.4	11689.8	13692.1	15885.3	14692.2	12270	16847	12715.5	13343.8	10569.6	14687.6	13697	13501.2	14557.4	14098.4	9420.28	12737.1	13086.6	17903.1	16573.8	9948.15	16542.3	6932.84	13703.9
5MP1_HUMAN	99086.6	104934	97770.8	110684	95454.6	101155	107797	90716.8	103342	97300.4	101832	86085.8	99937.9	91568.1	85036.1	113004	100602	93127.2	100653	96455.8	74266.1	89685.9	79906.6	71611	98479.3	102752	102949	79776.8	105645	96976.6
5MP2_HUMAN	176992	188312	170677	187084	170192	174301	192465	163936	187358	165685	159650	159684	179742	158143	182432	184221	194562	167981	195017	171470	135474	164004	144511	137038	171188	192766	175613	142452	187946	178984
5NTC_HUMAN	4691.84	3374.07	3039.12	3845.29	4125.3	2664.47	3930.78	3691.6	3865.87	2759.34	3477.78	3318.64	3856.32	4747.03	5405.56	2414.43	4116.93	3655.25	3506.23	2940.21	3950.26	2788.4	4266.48	9797.92	3358.85	4288.33	3406.02	2709.29	3878.78	4035.42
6PGD_HUMAN	37181.5	33917.6	39978.4	33121.9	30030.5	26831	35002.2	42849.1	42025.9	31494.2	27236.5	43736.1	41950.1	40127.6	40971.4	27831.4	37459.6	30513.8	44598.9	33085.8	35190.3	34278.8	26438	31265.9	37280.2	44268.4	29838.3	39132.9	31545.5	37305.8
8ODP_HUMAN	3460.43	NA	NA	2900.54	NA	NA	NA	3282.8	3096.82	2177.29	NA	2052.87	NA	5144.4	2445.29	525.908	2886.57	NA	NA	2617.29	NA	1062.33	NA	2325.09	3522.78	2627.48	611.398	2215.59	2810.68	1915.83
A4_HUMAN	17137.5	17160.7	18123	19312.9	17251.3	14494.3	18036.8	17635.3	17541.4	16098.9	13830.5	14711.8	13345.5	12134.1	14010.5	13601.4	14876.7	13152.3	14393.2	12978.1	9566.1	12980	10704.5	11718	15469.2	16135.5	13356.2	13594.3	12028.1	12613.3
AAAS_HUMAN	14539	14387.4	15033.5	13650.7	12310.7	10385.9	13520.4	18737.7	17503.1	13799.9	9584.09	17160.9	12759.1	14777.1	15249.4	14195.4	13890.7	11916.7	13502.2	14249.6	13322.6	14864.8	11621.6	13420.7	14925.3	15672.7	14160.1	14212.6	12680.2	13744.6
AAAT_HUMAN	16211.6	12812.7	13594.5	17185.6	13136.3	10598	17460.3	9576.87	12514.3	16222	14543.2	11894.1	13638	10917.6	11421.1	11430.7	12351.2	13785.6	10949.9	12271.1	10533.9	10324.7	14543.8	9666.17	14483.5	14910.9	9545.63	13376.3	9048.29	12547.1
AAK1_HUMAN	28945.5	29226.9	31717.7	28480.9	28984.7	27781.3	29020.8	28288.2	28598.1	29590.5	30864.3	28212.5	30865.1	30150.5	31175.3	31206.3	29649.4	30687	30744.3	30226.6	30164.7	29679	29317	28486.4	29864.6	29015.5	29364.3	28760.1	30322.4	31617.3
AAKG1_HUMAN	7090.12	4636.79	7576.5	7774.76	5474.07	7850.57	7732.01	6993.06	8524.85	7708.55	7534.26	5418.84	7764.34	7775.47	6102.2	5898.06	6581.1	6367.83	7641.46	6653.08	4875.66	5391.7	5951.13	5254.98	7337.03	9815.71	8280.87	7781.66	6316.03	6964.65
AAMP_HUMAN	7234.17	8205.27	8652.4	8917.44	8066.62	7417.05	7727.48	7938.83	7530.76	9468.35	6694.59	8061.71	8443.41	7840.5	9924.46	8390.7	9167.33	8409.4	7934.46	6345.53	8974.33	7229.66	8037.66	7298.97	6480.29	9276.26	7408.3	7972.43	5667.88	7523.1
AAPK1_HUMAN	12184.2	11284.1	13548.8	12813.3	12765.9	10355	12691	11833.6	13864.9	15321.4	12728.2	16017.5	13727.1	12267	16719.5	11561	11130	12298.3	14787.7	14933.3	13963	12526.2	10968.5	12053.5	13067.3	11627.2	10041.4	14422.7	10922.5	12700
AAR2_HUMAN	26410.6	28571.2	29047.1	27551.1	29705.9	28412	28595	26952.3	27665.1	30503.2	26470.3	29257.1	27712.7	23843.5	27208.6	28452.3	25302.3	27293.8	30675.3	31673.2	26111.2	26125.3	26621.8	26595.7	29327	28177.7	28950.6	27915	31720.4	26859.4
AATF_HUMAN	76543.5	83145.7	74323.1	73982.9	75803.4	79927.9	77991.4	82280.9	79564.4	80381.4	78578.2	80424	70895.9	77908.8	79144.8	73308.2	80379.6	77460.8	82240.4	84902.1	83051.9	81630.4	75457.9	87919.5	78445.1	76490.6	73877.5	75216.6	83175.3	80011.6
AATM_HUMAN	6367.69	7664.3	10174.6	11187	9399.84	5297.27	10883.4	5939.38	5845.83	3486.66	NA	4501.66	14611.7	6886.52	10405.6	3321.17	7491.77	4496.72	11850.4	5755.57	5276.62	4969.21	5728.03	NA	8274.03	14905.7	4895.84	10741.7	4492.67	5007.32
ABC3B_HUMAN	13435.9	12307	12715.1	12815.7	12210	14832.5	12024.1	14206.4	13270	12500	11126.1	14682.5	13029.5	15598.6	11757.7	13056.7	13357.1	11389.9	13433.2	14620.3	11903.9	12073.3	10946.4	12472.2	12653.4	14655.1	12895.9	12508.9	12825.8	13311
ABCB6_HUMAN	15234.6	14995.8	17202.4	16699.8	15189.1	17161.5	15927.2	14657.4	17547.1	16053.4	12998.8	18112.3	14591.9	17549.4	15270.4	14834	15269.1	14269.3	14619.9	17092.2	12929.6	13385.6	14470.7	12108.8	17053.4	17221.1	16472.6	18679.4	17039.6	14770.7
ABCB7_HUMAN	2552.03	1161.08	1778.56	2343.26	3513.53	NA	1538.1	1514.49	2858	1995.39	1988.53	3474.68	3635.1	NA	2680.8	2975.79	2203.28	1935.68	2166.38	2715.68	1359.14	1930.29	1159.32	NA	2505.66	NA	NA	2162.32	3441.22	899.842
ABCD1_HUMAN	7070.82	5432.64	6813.13	5898.41	6177.2	6301.86	5925.28	6783.69	6141.82	5612.3	5035.4	7444.36	6199.94	6695.07	5221.31	5734.82	4833.86	4985.23	6629.61	6472.69	5004.43	6351.11	4618.19	6200.15	6971.47	7008.01	4603.84	6168	5178.37	4801.31
ABCD3_HUMAN	53409.6	44274.5	43761.8	40179.1	36200.5	43067.1	40909.8	55582.3	49787.9	43525.7	36399.3	46412.8	38766.9	43877.3	41715.3	44075	49327	43235	41498.4	47400.2	33215.8	46778.5	33387.7	36984.7	50766	49194.9	53413.3	43927	44813	47170.8
ABCE1_HUMAN	146523	152106	162863	160511	151220	156307	161920	160564	170789	160715	165239	169547	153594	154119	155801	153023	168898	163045	153100	171410	152004	168415	162514	150037	150648	145831	163255	162586	177091	167805
ABCF1_HUMAN	280028	269465	301284	280244	289591	276357	257967	264244	276070	283438	310068	283989	288768	304794	292088	284987	271972	293775	272793	302667	299741	299492	307324	310418	289331	256008	272353	293096	303615	294809
ABCF2_HUMAN	146267	147565	158860	142634	156263	142964	139428	141922	147098	148139	165709	148412	155889	160249	160959	149589	138386	152149	143274	154496	160908	154818	159732	159855	154982	135822	138675	155271	159839	158765
ABCF3_HUMAN	4467.06	3618.92	5556.34	4151.13	4704.94	4138.87	4922.72	4271.6	4578.35	4726.56	4594.25	5757.13	4955.54	5401.38	4115.35	4133.08	4270.37	3822.88	4069.56	4476.88	4994.74	4648.87	4256.2	3793.85	5016.51	4360.02	3480.96	4399.31	4147.06	3863.29
ABD12_HUMAN	18039.3	17576.4	17640.3	17686.8	16219.3	16158.1	17891.7	16445	18185.9	14767.3	14226.1	16833.6	16121	18468.8	16135	18650.4	17620.5	15007.1	18653.7	15731.3	17460.5	15508.9	16149.4	15493.3	17398.9	18625.5	19369.2	16170	16080.1	15133
ABHDA_HUMAN	6060.33	9536.88	6381.53	7818.07	7068.07	6056.68	6949.92	7681.65	7184.33	8400.1	9504.84	11146.4	6541.62	6604.18	6867.07	7746.82	6399.75	6849.61	6162.82	7651.29	7735	10176.1	8187.47	6902.01	5902.97	6838.28	7153.71	8349.52	5003.72	6180.27
ABI1_HUMAN	53125.3	49766.1	47629.8	49925.9	47509.3	45586.1	50656.3	40760.7	50470.7	44417.5	43922.4	40873.3	48650.2	48829.4	50560.4	52980	42606.4	43297.5	46798.9	38793.8	44190.8	44309.5	44345	44451.3	46803.2	55035.7	49836.5	43772.8	45424.9	43503.5
ABI2_HUMAN	27840.2	29002.3	26637.4	29918	27394.1	26687.1	27352	24402.4	31385.8	24551	24434.5	23910.9	26875.9	22836.4	25252	26798.5	24636.8	22693.6	24295.8	23611.2	23991.9	25141.4	22926.1	24057.4	22761.2	28379.5	26298.7	22162.4	23225.9	24770
ABL1_HUMAN	23699.6	19744	21103.9	22930.4	19592.6	21585.4	21731.2	19581.5	19939.3	21646.3	23138.7	17868.5	18394.5	19537.2	20087.8	19180.3	21051.9	20682	21396.6	21735.1	18721.5	20746.7	20835.4	18021.9	21207.3	22691.8	22120.6	19391.2	19843.6	20032.1
ABL2_HUMAN	5737.46	5116.69	5470.04	3678.98	4475.92	6645.24	5718.28	3495.01	5797.74	5328.44	5076.43	3999.36	5324.86	4932.7	4907.99	3925.24	4017.85	3443.38	4123.81	3660.42	2508.98	3855.26	3977.55	2662.29	5284.5	5672.92	6375.62	3907.28	5165.07	4746.43
ABLM1_HUMAN	7262.19	7289.5	6633.49	5879.38	6747.73	6663.39	6158.71	6705.88	6334.95	6184.65	5397.9	6198.84	6826.25	6163.16	6291.59	5561.31	6610.25	6658.17	7216.63	6396.84	5007.82	5899.83	7030.07	5835.84	6347.12	6977.82	6628.4	5760.86	6913.3	6317.3
ABRX1_HUMAN	9251.94	11125.9	11745	9522.52	10758.9	11046.7	11197.8	11587.1	12006.1	11912.5	12993.8	13481.7	10425.1	10303.1	11348.9	9644.56	11319.5	11843.7	9534.09	10502.7	10003.1	11645.7	13270	11116.3	9977.94	10881.3	9684.45	10649.4	11168.4	11116.8
ABRX2_HUMAN	6723.45	7600.45	7255.77	8134.91	7849.47	6906.65	7605.95	6021.37	8264.71	7276	7059.14	7991.42	7928.58	3934.42	9990.73	6259.01	9113.93	8527.1	8428.15	7497.25	10819	7999.11	8057.85	8216.34	8659.89	7466.11	6594.57	6024.05	6859.33	7075.16
ABT1_HUMAN	35582.5	38095.4	35493.4	33308.4	33200.8	32956.7	34124.4	36967.7	35756.8	37220.6	36988.1	38702.4	32005.7	39997.2	34846.6	37837.4	37948.2	37029	37457.3	37449.1	31094.2	38969.7	35943.3	35346.1	36855.1	39691.6	37884.9	35840.2	39047	39422.3
ACACA_HUMAN	33942.1	33054.8	32084.9	32727	32022.2	31586.9	34430.9	31299.2	34380.5	31480.1	29411.8	32921.2	31611.3	31344.4	37633.9	33928.9	33129.7	31012.4	33252.2	30089.9	31334.8	31791.7	29642.3	31455.8	31442.4	34301.6	34112.8	29457.3	32848.5	30309.1
ACAD9_HUMAN	20336.3	20859.3	21410.2	19431.8	18658.1	17299.9	22520.6	19189.7	20400.2	18595.4	18107.4	18336.2	20890.1	18196.5	20442.8	16614	19594	19819.7	21946.1	18744.4	18181.3	18035.6	14069	17371	21125.9	23397	17500.5	18152.3	18481.9	17586.4
ACADM_HUMAN	27967.4	20762.2	31278.7	26768.1	22198.2	15010.7	32340.1	19992	24021.9	23589.4	16473.7	23235.5	34112.2	29201.9	29484.4	16827.3	26649.5	19974	33966.2	23348.9	19558.9	20395.2	18431.2	16406.5	26216.7	38357.2	20021.7	29122.3	17154.5	19649.9
ACADV_HUMAN	19476.8	20275.6	18829	20840.3	18984.6	15589.6	20618.9	17519.3	17021.5	15247.6	15177.1	16092.8	22335.9	20047.5	18883.7	18691.1	16236.8	18890.1	21819	16126.4	18807.7	16060.9	15165.5	18274	19044	20223.5	16693.9	21237.8	15494.4	14353.9
ACAP2_HUMAN	7809.54	7318.01	9676.25	6723.77	7044.48	7995.13	7761.8	7643.47	9006.55	7070.37	8652.69	8214.67	8159.77	8602.23	8802.99	7338.28	8100.6	7414.38	9108.99	7648.6	8929.65	10257.4	10930.2	9691.75	8246.08	6356.53	9458.01	8286.16	7332.38	7730.04
ACBD5_HUMAN	7369.98	6967.29	7564.44	6668.47	5792.11	5727.72	6136.29	8752.2	6588.56	6497.77	3692.4	9406.67	4928	8428.03	7894.05	5865.47	8791.67	7626.45	8138.26	6525.56	7493.96	7713.23	5905.6	10250.9	8590.76	10466.4	8729.65	7758.92	5804.12	8450.01
ACBD6_HUMAN	5663.16	5352.75	4798.86	6583.34	5801.21	4362.31	6474.83	4853.57	4448.91	5362.56	3366.59	5378.88	5486.32	4282.85	6591.33	5218.76	6348.78	5467.4	6511.94	4731.14	5565.32	5250.66	5703.19	4119.5	5556.56	6374.7	5300.73	3406.29	5351.31	4388.71
ACD_HUMAN	16754.1	16885.1	17552.5	18301.3	18106.6	15755.2	15700.2	18329.1	15576.2	18573.5	17640	18715	16108.9	19654.7	18417.8	18062.8	18955.1	19253.5	17841.6	19827.4	19054.7	17548.9	19295.8	20331.6	19096.5	16771.6	12226	18239.3	17348.2	19223.4
ACHA_HUMAN	22914.6	21694.2	27408.4	21902.7	30851.6	23056.8	25752.1	20638	27165.6	23750.7	24264.5	30422.8	24051.3	27377.9	27657	20624.7	NA	31894.4	NA	27842.4	29249.7	NA	27637.9	30110	24816.3	22357.5	26540.1	23840.8	26757.8	NA
ACINU_HUMAN	1026650	996662	992156	1082860	1045230	1027570	1122870	1065250	1180690	1107210	1093050	1077890	1069800	1124380	998035	1322810	991127	1027430	1004640	964590	1020500	1155770	1133650	1095980	879718	1114510	1155720	1136520	1013250	1162450
ACK1_HUMAN	5269.95	5430.69	5194.37	3823.15	5167.97	5573.15	6964.07	6328.26	4325.77	5724.36	4597.62	4351.35	4783.75	5093.2	4681.14	2998.67	3630.44	4488.75	4160.09	3172.89	3989.43	3265.26	5630.8	3044.52	4411.17	4506.55	3598.69	5345.84	4095.73	4446.62
ACL6A_HUMAN	299676	288466	266084	271270	259964	290003	257488	305534	267777	266982	270278	285931	261448	272981	264896	269329	295426	284090	277192	284945	267235	269411	255826	288440	279769	275475	254593	262852	270173	274427
ACLY_HUMAN	200338	202434	223060	197501	191203	172759	187746	187487	207457	201034	205167	186905	188035	187413	195149	167367	149895	158257	162927	154990	194289	163260	169617	185818	180570	160660	146803	174719	166030	160784
ACO13_HUMAN	31617.3	31515.1	33037	31789.4	33615.1	28797.2	32872.7	25690.9	26688.2	28172.3	25583.5	27520.1	36574.9	33110	30164.9	30624.5	25973	26592.6	32843.3	26591.9	29170	26075.8	27004.3	28094	26767.3	35330.8	31918.6	30359.8	28935.7	23602.1
ACOHC_HUMAN	1938.72	2194.51	2479.62	2412.17	3739.43	2976.48	1929.01	1892.89	3164.93	1981.81	1295.78	2834.75	3281.66	2680.61	3108.75	1748.54	4044	1474.59	2048.72	2832.68	2365.49	2283.16	1673.11	3182.91	2308.92	2313.06	2728.79	2090.32	NA	3391.49
ACON_HUMAN	12130.6	11746.9	15446.4	13359.4	13264	6870.33	11991.3	14634.6	12189.1	10295.8	11063.4	12950.4	12606.9	14445.1	13918.1	9939.12	15184.6	11776.1	13972.6	10976.5	12487.8	12125.7	12050.6	9373.59	13704.7	14453.2	11821.5	15020.4	9184.39	11850.5
ACOT8_HUMAN	44219	49065.8	53967.6	49774.4	54005.8	42575.9	52915.5	50165.8	53929.3	54411.3	57750.4	52037.5	55591.9	50221.8	56250	51613	51244.2	54444.4	47341.9	53711.6	56180.3	53724.2	52597.5	50210.8	50084.1	46006.8	47540.6	54751.4	49663.3	50670.8
ACOT9_HUMAN	55822.1	59786.6	60521.8	57861.4	58757	58863.8	59810.4	56526	60542.7	58947.4	58781.8	59126.3	60541.8	58246.2	65281.3	54800.7	53848.1	57590.2	56678.6	58735	59950.3	56141.7	56847.1	54095.5	55386.3	53390.5	57465.6	54828.8	59434	55887.6
ACOX1_HUMAN	3541.15	3671.29	5605	4010.4	3997.6	4234.41	4259.48	4667.42	4632.79	4644.99	2988.87	5185.44	4916.26	4055.21	5206.01	3908.86	4009.96	3301.18	3992.02	3758.65	4068.07	3220.63	3376.5	3430.72	3635.42	3705.55	3976.28	4393	3601.82	3306.72
ACOX3_HUMAN	3616.56	3249.14	3379.19	3855.26	3039.98	2885.6	3065.13	3539.2	3358.82	3672.38	2805.43	3509.43	3561.06	3742.84	3359.96	2566.94	2783.46	3035.02	3543.66	2698.83	3370.79	3616.41	3120.4	3334.9	2823.4	3393.59	3367.24	3424.7	3021.18	3328.95
ACSL3_HUMAN	36292.6	32082.7	38349.2	35963.8	31081.9	31312.3	36146.5	33701.5	36339.2	29880	28256.8	36306	35465.7	33752.6	33404.3	29419.9	31416.7	31626.7	32089.4	29886.7	30641	27864.6	27265.4	26727.2	38061.7	35487.9	28202.3	35017	24947.1	29977
ACSL4_HUMAN	11575.2	10925.7	13701.8	11438.7	9936.98	8700.43	10388.3	11119.3	12420.8	9376.25	9972.1	11446.7	11399.6	12219.2	13777.2	10381.6	9956.83	12415.5	12962.5	10922.7	11759.6	9417.74	10215.3	9502.86	13041.7	12388.5	11740.7	11642.6	10047.8	9128.49
ACTBL_HUMAN	1057620	1095940	1158420	971282	1186420	1046570	945112	1325350	1108410	1229770	1336070	1496920	1169270	1366660	1309160	838229	1121830	1380150	940247	1206700	1358550	1393430	1368070	1430070	996029	965563	958878	1280700	905351	1073530
ACTB_HUMAN;ACTG_HUMAN	4189850	3987520	4015750	3712700	4062010	3776910	3781830	4398230	4183220	4187380	4333260	4985960	4078180	4573570	4325290	3642810	4048620	4263120	3595360	3985060	4639430	4633090	4419510	5010500	3816110	3887170	3763930	4360780	3785370	4131270
ACTC_HUMAN	1121570	1047750	1010550	934409	991429	1000450	954840	1059450	1043900	1025290	1024680	1133510	1009380	1083400	1035170	945796	1009500	1048960	952775	1019800	1044640	1116630	999660	1090890	1024030	995952	1025830	1058940	955270	1045090
ACTN1_HUMAN	22386.6	19292	18571.9	24102.8	22354.1	20975.7	23136.1	21218.2	21631.5	22796.6	22156.1	21270.8	17653.6	20020.4	16780.4	21713.4	19972.3	20719.5	21410.3	21309.4	19665.3	22262.6	23275.3	18768.1	21464.8	20330.4	24404	22756.1	20316.7	23783
ACTN2_HUMAN	1396.13	1787.71	1894.39	2481.88	1429.8	1111.12	1679.33	1388	2346.53	2152.65	1827.77	2170.93	1508.99	1756.41	1509.63	2491.23	2072.53	1563.15	1714.81	1531.39	2340.82	1702.47	2613.19	2495.11	1773.81	2058.59	1873.89	1414.91	1800.51	2793.81
ACTN4_HUMAN	172107	148137	157967	197484	179669	181974	190765	162137	172806	197992	214782	173455	158862	169133	138097	176966	168319	172749	156416	175392	131069	179406	196275	135370	162480	150379	187098	186181	152537	202884
ACTY_HUMAN	16451.6	17324.6	18057.8	16761.3	18680.9	17720.8	16755.9	17816.3	16968.1	20651.4	22298.1	13948.4	16748.3	15259.2	19271	14871.8	16642.8	18405.4	17241.1	17603.8	22730.7	18838.8	21123.1	17642.4	16331.8	13768.5	14624.9	14148.8	18309	16970
ACTZ_HUMAN	48582.4	48170.3	50941	45809.8	46606.6	48077.2	47639.2	48227.6	47884.1	48801.9	48796.6	50213.8	52744.2	51503.9	50679.9	47197.5	46787.3	52729.9	48294.2	52661.4	52727.6	48308.9	48349	50057.9	48674.8	49186.5	46602.6	50956.4	46128.2	46638.2
ADA10_HUMAN	46987.8	48182.7	44320.1	45649.3	42740.5	41370.2	45131.7	45804.6	47672.1	42741.1	39343.1	44022.2	40432.6	39300.7	40565.1	37239.1	39381.2	38509.6	39498.4	37625.1	36065.7	36227.7	35008	37599.6	39169.6	42109.2	35306.9	36069.6	34122.3	36611.7
ADAD2_HUMAN	4669.91	7264.11	5910.98	8437	9100.74	7815.9	8701.35	9533.31	6767.43	7470.16	9191.69	8179.61	10379.2	9953.21	7168.66	10186	5933.06	6853.74	6506.24	5484.61	11172.3	10330.3	10230.8	14202.2	6659.49	6606.98	8821.19	8905.55	8345.37	8296.28
ADAM9_HUMAN	3609.2	3905.18	3521.85	4056.82	2942.26	3280.52	3649.4	3568.86	3979.07	4317.26	3250.21	3227.38	2935.86	3342.2	2869.13	3839.74	3318.78	2776.46	3738.45	3012.11	2235.43	2848.69	1789.44	1798.44	3747.62	4273.43	3129.87	2858.14	3304.83	4040.24
ADAS_HUMAN	134519	114687	118225	107878	98973.2	99610.2	112185	127869	112315	111537	100095	128014	111962	116261	116068	87928.6	123583	110880	112504	110262	124413	107041	105697	121259	123538	122571	94221.3	116400	89172.6	109885
ADDA_HUMAN	125868	124809	123618	139703	135688	132179	139344	144091	147630	144411	149165	143530	130387	141695	132166	150924	141952	142551	128600	126086	133159	154507	143487	150183	112829	143009	144810	143908	127398	148416
ADDB_HUMAN	26806.3	25643.2	21174.1	24807.5	26054.3	20916.4	16165.7	28123.6	25987.9	25596	24178.4	23778.7	23629.5	21802.5	18400.8	21137.4	30446.3	25419.9	26950.3	17878.7	23762.2	25820.4	30168.8	26827.8	22100	20299.7	23127.2	28058.9	28963.4	27274.2
ADDG_HUMAN	74432.2	73364.3	69526.8	76723.9	77372.9	75863.9	80274.4	73853.9	82293.5	79032.9	75380.2	79219	74852.4	76793.6	72700.5	87784.3	72541.9	74046.1	73173.3	72055.2	74018.9	79679.4	78701.7	77193.4	67964.3	78510.9	84144.4	77967.1	71691	80451.9
ADH7_HUMAN	586411	704316	637478	703246	647984	670130	655432	580179	661510	653700	517746	548998	653940	531128	485124	593824	668956	542224	724276	718902	385559	549857	415244	336965	651662	653170	736761	551203	759419	612858
ADIP_HUMAN	4093.99	4504.65	4050.64	3627.84	4205.95	4153.33	3033.28	3971.54	4283.43	2829.98	3756.96	3700.71	3775.45	4075.86	2968.4	4268.93	4362.44	4255.76	4236.65	4389.67	3621.65	3917.07	4620.92	3927.16	4416.13	4602.65	4358.85	3888.15	4526.97	4083.85
ADNP2_HUMAN	6669.84	4756.1	5822.38	5318.23	4250.87	6977.92	5725.2	7311.87	7147.52	6497.86	5648.76	7381.57	3920.39	5008.7	4887.12	6017.28	5927.06	5576	5134.27	5799.45	5441.01	6413.9	5746.56	5493.94	6320.45	5888.35	5579.44	6693.76	6542.09	6508
ADNP_HUMAN	155165	145296	147386	132655	130642	144543	137084	166478	150036	141136	140942	162310	135254	150961	145654	146887	157430	149372	143627	149197	149275	143644	134994	148987	156849	151169	143752	146107	150518	150721
ADPGK_HUMAN	12417.4	8825.93	12348.9	9038.24	8768.17	7708.48	10145.5	9028.99	8590.68	9129.02	7101.28	8377.44	10760.6	9530.32	10675.1	8081.97	9523.35	7938.88	11650.6	10635.1	9218.69	7021.75	7225.77	6942.25	11701.3	11953.4	6033.31	10145.3	6359.77	7428.98
