Protein.Names	DMSO_01	DMSO_02	DMSO_03	DMSO_04	DMSO_05	DMSO_06	DMSO_07	DMSO_08	DMSO_09	DMSO_10	DMSO_11	DMSO_12	IHK44_100nM_01	IHK44_100nM_02	IHK44_100nM_03	IHK44_100nM_04	IHK44_100nM_05	IHK44_100nM_06	IHK44_125nM_01	IHK44_125nM_02	IHK44_125nM_03	IHK44_125nM_04	IHK44_125nM_05	IHK44_125nM_06	IHK44_150nM_01	IHK44_150nM_02	IHK44_150nM_03	IHK44_150nM_04	IHK44_150nM_05	IHK44_150nM_06
MED29_HUMAN	7719.51	5818.83	5652.95	6180.64	5039.28	5574.96	3783.68	NA	4374.55	4079.81	3465.8	3741.63	6250.23	8391.22	4627.54	5972.7	4253.47	3647.62	6428.94	3595.34	NA	5442.07	3538.27	3149.68	6177.12	7460.16	7547.48	8036.19	5346.55	4666.48
MED30_HUMAN	39009.3	34570.8	31213.4	19905.1	21694.1	20803.5	17610.9	15653.3	11236.4	14324.1	10860.7	11048.6	35472	36816.5	26620.3	16325	16464	13470	35986.1	14802.7	12225.2	10532.4	10772.3	11900.5	33322.9	42504.6	19759.9	23765.7	22016.9	11366.9
MED31_HUMAN	17073.5	17378.5	16239.9	14159.5	16910	14959.4	13627.3	15955.7	16034.7	14629.2	19135.4	15926.8	16707.9	16724.4	16862.6	17178.1	16547.2	16014.8	15531.7	16616.8	14261.3	15137.1	14072.1	13263.6	15922.7	19356.1	17159.1	16651.3	17198	14508.6
MED4_HUMAN	34007.3	29616.6	29155.7	37567.2	39537.9	38165.2	39385.2	38160.4	38387.5	38967.3	39240.4	39847.3	30897.8	29330.4	30674.1	42325.9	39001.5	36031.1	34756.3	36568.3	37077.9	37164.6	37892.6	37684.3	31561.3	39264.9	45543.6	40370.9	38056.4	41976.5
MED6_HUMAN	20464	21205.7	19329.1	20084.2	20189.2	19015.8	17419.7	21967.9	17952.4	17386.6	18663.2	20001.9	20527.2	23549.5	20606	16740.9	19273.3	17468.2	19722.9	18719.2	18117	19560.9	17568.1	20451	21808.4	24233.4	19150.4	21888.9	19443.9	17553.4
MED8_HUMAN	14127.6	14193.8	10600.3	10127.5	13503.4	10410.6	10708.1	12880	9795.98	11601.1	11428.4	11516.2	11601	15154.1	14778.3	9592.28	10930.2	13260.5	13842.7	12231.6	14771.8	12146.8	11658	16730.9	11757.5	17139.9	13355.8	12755.9	10960.4	9451.75
MEF2A_HUMAN	16852.4	21993.9	21625.4	20613.4	23165.9	21891.1	22422.1	18520.8	19441.9	20630.5	19295.2	20257.1	24321.4	22091.9	25822.9	22312	22762.6	23340.4	25546.1	20974	29882.7	22743.4	25397.7	23689.7	23518.3	26890.3	21156.6	22856.4	25358.3	21421.3
MEF2C_HUMAN	7172.7	8216.76	7687.57	8239.7	8520.51	6559.23	9008.35	6425.68	7248.71	5648.98	4902.79	6042.63	6413.59	7435.92	9228.65	7562.77	7000.44	9375.75	7339.66	5870.92	8050.33	7793.46	8639.49	11339.7	6563.18	6860.41	6124.49	8000.02	5824.77	4156.31
MEF2D_HUMAN	30586.5	29750.7	29329.7	26957.3	26667	27554	26560.5	28391.6	27404	27189.1	25647.8	25311.8	29218.1	26432	25348.3	25270.6	28809.3	25475.9	27872.7	23138.3	24189.8	24416.2	26328.1	26856.4	29640.1	27718.1	19360.6	22969.7	24560.8	26633.7
MEIOC_HUMAN	6068.98	6395.35	8620.58	8602.43	8585.55	7147.36	7994.45	7109.28	6612.59	7023.4	6490.14	6752.45	5803.05	8247.7	7961.12	8543.52	7490.9	6932.49	5402.76	5533.62	6553.48	7463.2	8649.64	6756.8	6251.33	6109.49	9048.79	8640.73	5918.68	9179.27
