Protein.Names	X240301_RH4_DMSO_01	X240301_RH4_DMSO_02	X240301_RH4_DMSO_03	X240301_RH4_DMSO_04	X240301_RH4_DMSO_05	X240301_RH4_DMSO_06	X240301_RH4_DMSO_07	X240301_RH4_DMSO_08	X240301_RH4_DMSO_09	X240301_RH4_DMSO_10	X240301_RH4_DMSO_11	X240301_RH4_DMSO_12	X240301_RH4_IHK44_100nM_01	X240301_RH4_IHK44_100nM_02	X240301_RH4_IHK44_100nM_03	X240301_RH4_IHK44_100nM_04	X240301_RH4_IHK44_100nM_05	X240301_RH4_IHK44_100nM_06	X240301_RH4_IHK44_125nM_01	X240301_RH4_IHK44_125nM_02	X240301_RH4_IHK44_125nM_03	X240301_RH4_IHK44_125nM_04	X240301_RH4_IHK44_125nM_05	X240301_RH4_IHK44_125nM_06	X240301_RH4_IHK44_150nM_01	X240301_RH4_IHK44_150nM_02	X240301_RH4_IHK44_150nM_03	X240301_RH4_IHK44_150nM_04	X240301_RH4_IHK44_150nM_05	X240301_RH4_IHK44_150nM_06
GRAP1_HUMAN	NA	4726.98	2697.33	4659.88	NA	1951.61	NA	NA	2737.91	3209.93	NA	3684.92	2749.32	NA	NA	2515.72	NA	3295.86	NA	4717.45	NA	NA	2855.43	NA	NA	NA	NA	NA	2049.07	NA
GRB10_HUMAN	NA	NA	NA	NA	889.733	NA	NA	NA	NA	NA	NA	NA	NA	1260.33	725.928	968.907	1009.18	NA	NA	591.86	567.725	NA	571.419	1188.77	NA	NA	NA	990.946	NA	829.155
GUAD_HUMAN	NA	NA	NA	NA	27670.5	NA	36476.4	31966.9	NA	NA	27484	NA	NA	30273.5	25794.9	36857.7	NA	NA	NA	NA	30154.8	32943	NA	NA	NA	NA	NA	NA	26540.2	NA
HECD3_HUMAN	NA	NA	NA	1489.82	1339.27	733.446	NA	1289.6	NA	547.848	NA	NA	748.826	NA	1129.6	NA	NA	906.904	NA	1487.88	834.544	NA	747.539	NA	NA	NA	1298.26	1209.9	NA	NA
HELQ_HUMAN	NA	548.803	588.554	1582.77	283.981	NA	844.38	449.843	923.888	684.998	612.533	705.995	NA	831.148	1046.52	NA	1483.53	566.685	841.228	1098.5	345.692	576.113	701.906	NA	NA	NA	875.818	NA	NA	803.916
HMCS1_HUMAN	NA	4356.07	5066.06	NA	4409.85	1455.72	NA	4717.74	4882.39	NA	3173.44	4034.52	NA	NA	NA	1977.44	4826.37	NA	3754.51	NA	3568.35	4450.85	NA	3881.21	5269.23	5937.98	NA	2985.89	NA	NA
HOME2_HUMAN	NA	NA	29011.2	NA	NA	41285.7	NA	37867.9	41831.8	NA	NA	NA	NA	NA	NA	52179.6	NA	41210.9	NA	37690.7	27558.7	36572.8	35981	NA	NA	NA	39985.3	NA	NA	NA
HORN_HUMAN	3133.64	5340.02	NA	NA	NA	NA	5078.53	3448.12	5831.71	NA	1640.31	NA	4795.91	6968.76	NA	1274.65	NA	3439.14	NA	NA	NA	NA	NA	5113.06	NA	3718.14	3805.07	4643.69	NA	NA
HSFY1_HUMAN	NA	684.308	NA	780.085	NA	971.311	NA	286.179	NA	NA	NA	NA	NA	NA	NA	1236.99	NA	NA	826.357	NA	62.3308	NA	NA	NA	NA	NA	NA	693.425	NA	NA
HYAS1_HUMAN	NA	65949.3	42757.4	NA	74855.2	NA	NA	54083.2	55246	58822	NA	NA	78721.4	NA	NA	NA	45879.6	NA	NA	NA	NA	63808.4	77816.4	78884.1	58203.2	61285.9	57330.8	63770.6	62990.7	NA
I17RC_HUMAN	1824.48	1718.01	1306.75	NA	NA	NA	NA	NA	NA	NA	749.576	NA	NA	NA	642.712	385.041	NA	NA	NA	NA	NA	NA	NA	NA	798.159	NA	1705.24	NA	NA	NA
IFT25_HUMAN	2018.86	2438.69	NA	1513.54	1685.25	1808.47	1416.7	1564.23	1651.41	NA	NA	738.235	NA	792.318	NA	2343.1	1235.52	NA	997.066	NA	NA	1031.9	NA	NA	1866.3	1958.49	1994.22	1058.64	2487.78	2081.12
IPO11_HUMAN	NA	241.996	647.722	NA	359.148	233.81	NA	NA	551.193	126.256	NA	NA	NA	NA	NA	NA	NA	444.905	280.437	NA	NA	NA	NA	NA	NA	728.68	NA	NA	NA	281.966
K1C13_HUMAN	NA	NA	NA	NA	NA	2777.09	NA	NA	3870.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1123.02	NA	NA	NA	NA	NA	NA
K1C16_HUMAN	3753.4	21029.3	6378.08	6718.38	NA	NA	NA	NA	2898.96	NA	NA	NA	6828.11	6756.01	NA	NA	1835.28	13246.9	NA	3284.84	NA	NA	NA	6356.96	NA	2384.74	4145.25	78867.1	NA	NA
K1C17_HUMAN	NA	16247.6	15279.8	7486.88	NA	NA	NA	NA	NA	NA	NA	NA	8579.29	49479.3	NA	NA	NA	10467.4	NA	NA	NA	NA	NA	7432.67	NA	NA	20955.2	14203.2	NA	NA
K1H1_HUMAN;KT33A_HUMAN	NA	NA	NA	NA	NA	NA	NA	8513.59	NA	10162.7	NA	NA	NA	NA	NA	NA	NA	13130.3	NA	NA	NA	NA	9543.95	NA	NA	NA	NA	NA	13625.1	NA
