Protein.Names	X240301_RH4_DMSO_01	X240301_RH4_DMSO_02	X240301_RH4_DMSO_03	X240301_RH4_DMSO_04	X240301_RH4_DMSO_05	X240301_RH4_DMSO_06	X240301_RH4_DMSO_07	X240301_RH4_DMSO_08	X240301_RH4_DMSO_09	X240301_RH4_DMSO_10	X240301_RH4_DMSO_11	X240301_RH4_DMSO_12	X240301_RH4_IHK44_100nM_01	X240301_RH4_IHK44_100nM_02	X240301_RH4_IHK44_100nM_03	X240301_RH4_IHK44_100nM_04	X240301_RH4_IHK44_100nM_05	X240301_RH4_IHK44_100nM_06	X240301_RH4_IHK44_125nM_01	X240301_RH4_IHK44_125nM_02	X240301_RH4_IHK44_125nM_03	X240301_RH4_IHK44_125nM_04	X240301_RH4_IHK44_125nM_05	X240301_RH4_IHK44_125nM_06	X240301_RH4_IHK44_150nM_01	X240301_RH4_IHK44_150nM_02	X240301_RH4_IHK44_150nM_03	X240301_RH4_IHK44_150nM_04	X240301_RH4_IHK44_150nM_05	X240301_RH4_IHK44_150nM_06
TAL1_HUMAN	NA	NA	5968.28	NA	8135.81	NA	NA	9463.94	NA	NA	9740.05	17038.6	7053.22	10639.3	21873.8	NA	NA	15443.4	NA	NA	40162.5	11892.4	25313.3	39248.8	NA	NA	NA	15851	NA	4090.32
TBA4B_HUMAN	NA	NA	11588	13324.3	13197.3	NA	NA	NA	NA	NA	2400.26	NA	NA	NA	12046.8	NA	NA	NA	12964.5	NA	NA	NA	NA	NA	15958	22778.4	21855.5	NA	11480.2	NA
TBB3_HUMAN	3210.58	NA	NA	NA	NA	2846.34	NA	NA	3040.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2676.34	4411.69	NA	1821.75	NA	NA	NA	NA	NA	NA	NA
THUM2_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	429.321	NA	NA	567.32	NA	NA	NA	NA	NA	818.755	455.246	535.821	NA	NA	NA
TM230_HUMAN	NA	3994.59	NA	NA	NA	NA	2851.29	NA	NA	NA	NA	4740.13	NA	4304.93	NA	4415.66	NA	NA	NA	3071.62	NA	3682.01	2917.11	2906.77	3342.72	4202.84	NA	NA	NA	3350.29
TMTC1_HUMAN	1188.52	NA	505.896	NA	NA	1519.58	NA	1515.3	636.273	NA	1196.55	1372.46	NA	NA	NA	NA	1285.39	1833.8	1267.97	1013.84	NA	NA	488.898	NA	1072.94	NA	1430.62	NA	NA	NA
TRXR2_HUMAN	5471.71	NA	NA	2987.14	NA	NA	NA	NA	3469.68	NA	NA	NA	3070.9	NA	4017.67	NA	3902.28	NA	3399.85	NA	3142.6	NA	4021.25	NA	NA	NA	NA	NA	2917.2	3336.45
TTC27_HUMAN	NA	1153.33	NA	1579.15	1466.62	NA	NA	1349.14	1084.13	1813.38	1105.85	1161.03	NA	2404.43	1873.86	NA	NA	NA	1827.46	1412.65	1865.39	NA	NA	NA	NA	1517.83	1793.07	NA	NA	NA
VLDLR_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2497.38	NA	NA	NA	NA	NA	NA	NA
ZFP2_HUMAN	NA	5797.79	7446.98	6319.34	6610.2	7508.26	5567.69	NA	NA	6500.15	NA	NA	NA	NA	NA	NA	5838.47	NA	NA	NA	NA	NA	5233.07	NA	5578.43	NA	NA	6202.54	5256.29	6361.64
ZFY26_HUMAN	3377.67	NA	NA	3276.16	NA	NA	NA	2898.99	2500.27	NA	NA	2898.85	NA	NA	NA	NA	NA	NA	NA	NA	4531.6	NA	NA	NA	NA	4121.58	NA	NA	NA	3154.92
ZG16B_HUMAN	542.325	1402.79	NA	NA	546.841	NA	512.989	NA	NA	NA	NA	NA	1563.57	NA	NA	NA	NA	NA	NA	645.598	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZN221_HUMAN;ZN224_HUMAN	NA	NA	NA	NA	NA	NA	5573.79	NA	NA	NA	6161.63	NA	NA	4850.12	NA	4483.03	6498.58	NA	NA	6103.77	NA	6035.02	NA	NA	NA	NA	NA	NA	NA	NA
ZN471_HUMAN	NA	NA	NA	NA	2731.48	4426.74	NA	4180.74	NA	NA	NA	2961.89	NA	NA	4205.53	NA	NA	NA	NA	NA	4421.37	NA	4014.11	NA	NA	NA	5097.11	4728.43	NA	NA
ZN658_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	15754.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20622.2	15558.1	NA	NA	NA	NA	NA
ZN823_HUMAN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1411.67	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZN891_HUMAN	NA	NA	4690.02	NA	NA	NA	NA	NA	3477.63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZSC20_HUMAN	212.194	NA	392.969	99.3161	393.626	NA	NA	709.008	NA	NA	542.972	NA	NA	562.434	NA	NA	796.283	254.145	647.076	441.493	342.296	272.297	279.831	128.122	NA	764.22	NA	NA	NA	630.324
ZXDB_HUMAN	NA	NA	2959.05	NA	NA	3246.52	2815.46	NA	NA	3267.87	2671.21	3260.47	NA	3475.62	NA	NA	4878.99	3479.88	NA	3315.57	2752.28	2324.25	4401.3	NA	3344.59	NA	NA	4042.77	NA	NA
